Country,Year,Urban population (% of total population)
Switzerland,2012,73.653
Switzerland,2013,73.674
Switzerland,2014,73.696
Switzerland,2015,73.718
Switzerland,2016,73.739
Switzerland,2017,73.761
Switzerland,2018,73.797
Switzerland,2019,73.849
Switzerland,2020,73.915
Switzerland,2021,73.996
Switzerland,2022,74.092
Switzerland,2023,74.202
Turkiye,1990,59.203
Turkiye,1991,59.976
Turkiye,1992,60.518
Turkiye,1993,61.055
Turkiye,1994,61.59
Turkiye,1995,62.123
Turkiye,1996,62.653
Turkiye,1997,63.179
Turkiye,1998,63.703
Turkiye,1999,64.223
Turkiye,2000,64.741
Turkiye,2001,65.34
Turkiye,2002,65.974
Turkiye,2003,66.602
Turkiye,2004,67.225
Turkiye,2005,67.84
Turkiye,2006,68.45
Turkiye,2007,69.053
Turkiye,2008,69.651
Turkiye,2009,70.241
Turkiye,2010,70.825
Turkiye,2011,71.402
Turkiye,2012,71.974
Turkiye,2013,72.531
Turkiye,2014,73.077
Turkiye,2015,73.611
Turkiye,2016,74.134
Turkiye,2017,74.644
Turkiye,2018,75.143
Turkiye,2019,75.63
Turkiye,2020,76.105
Turkiye,2021,76.569
Turkiye,2022,77.022
Turkiye,2023,77.463
United Kingdom,1990,78.14
United Kingdom,1991,78.112
United Kingdom,1992,78.172
United Kingdom,1993,78.232
United Kingdom,1994,78.293
United Kingdom,1995,78.353
United Kingdom,1996,78.413
United Kingdom,1997,78.472
United Kingdom,1998,78.532
United Kingdom,1999,78.591
United Kingdom,2000,78.651
United Kingdom,2001,78.751
United Kingdom,2002,79.047
United Kingdom,2003,79.339
United Kingdom,2004,79.629
United Kingdom,2005,79.915
United Kingdom,2006,80.199
United Kingdom,2007,80.479
United Kingdom,2008,80.757
United Kingdom,2009,81.031
United Kingdom,2010,81.302
United Kingdom,2011,81.57
United Kingdom,2012,81.837
United Kingdom,2013,82.102
United Kingdom,2014,82.365
United Kingdom,2015,82.626
United Kingdom,2016,82.886
United Kingdom,2017,83.143
United Kingdom,2018,83.398
United Kingdom,2019,83.652
United Kingdom,2020,83.903
United Kingdom,2021,84.152
United Kingdom,2022,84.398
United Kingdom,2023,84.642
United States,1990,75.3
United States,1991,75.701
United States,1992,76.097
United States,1993,76.488
United States,1994,76.875
United States,1995,77.257
United States,1996,77.636
United States,1997,78.008
United States,1998,78.377
United States,1999,78.742
United States,2000,79.057
United States,2001,79.234
United States,2002,79.409
United States,2003,79.583
United States,2004,79.757
United States,2005,79.928
United States,2006,80.099
United States,2007,80.269
United States,2008,80.438
United States,2009,80.606
United States,2010,80.772
United States,2011,80.944
United States,2012,81.119
United States,2013,81.299
United States,2014,81.483
United States,2015,81.671
United States,2016,81.862
United States,2017,82.058
United States,2018,82.256
United States,2019,82.459
United States,2020,82.664
United States,2021,82.873
United States,2022,83.084
United States,2023,83.298
