Entity,Code,Year,Multiparty elections (best estimate) (re-estimate)
Albania,ALB,1933,0
Albania,ALB,1934,0
Albania,ALB,1935,0
Albania,ALB,1936,0
Albania,ALB,1937,0
Albania,ALB,1939,0
Albania,ALB,1945,0
Albania,ALB,1946,0
Albania,ALB,1947,0
Albania,ALB,1948,0
Albania,ALB,1949,0
Albania,ALB,1950,0
Albania,ALB,1951,0
Albania,ALB,1952,0
Albania,ALB,1953,0
Albania,ALB,1954,0
Albania,ALB,1955,0
Albania,ALB,1956,0
Albania,ALB,1957,0
Albania,ALB,1958,0
Albania,ALB,1959,0
Albania,ALB,1960,0
Albania,ALB,1961,0
Albania,ALB,1962,0
Albania,ALB,1963,0
Albania,ALB,1964,0
Albania,ALB,1965,0
Albania,ALB,1966,0
Albania,ALB,1967,0
Albania,ALB,1968,0
Albania,ALB,1969,0
Albania,ALB,1970,0
Albania,ALB,1971,0
Albania,ALB,1972,0
Albania,ALB,1973,0
Albania,ALB,1974,0
Albania,ALB,1975,0
Albania,ALB,1976,0
Albania,ALB,1977,0
Albania,ALB,1978,0
Albania,ALB,1979,0
Albania,ALB,1980,0
Albania,ALB,1981,0
Albania,ALB,1982,0
Albania,ALB,1983,0
Albania,ALB,1984,0
Albania,ALB,1985,0
Albania,ALB,1986,0
Albania,ALB,1987,0
Albania,ALB,1988,0
Albania,ALB,1989,0
Albania,ALB,1990,0
Albania,ALB,1991,1
Albania,ALB,1992,1
Albania,ALB,1993,1
Albania,ALB,1994,1
Albania,ALB,1995,1
Albania,ALB,1996,1
Albania,ALB,1997,1
Albania,ALB,1998,1
Albania,ALB,1999,1
Albania,ALB,2000,1
Albania,ALB,2001,1
Albania,ALB,2002,1
Albania,ALB,2003,1
Albania,ALB,2004,1
Albania,ALB,2005,1
Albania,ALB,2006,1
Albania,ALB,2007,1
Albania,ALB,2008,1
Albania,ALB,2009,1
Albania,ALB,2010,1
Albania,ALB,2011,1
Albania,ALB,2012,1
Albania,ALB,2013,1
Albania,ALB,2014,1
Albania,ALB,2015,1
Albania,ALB,2016,1
Albania,ALB,2017,1
Albania,ALB,2018,1
Albania,ALB,2019,1
Albania,ALB,2020,1
Albania,ALB,2021,1
Albania,ALB,2022,1
Albania,ALB,2023,1
Algeria,DZA,1948,0
Algeria,DZA,1949,0
Algeria,DZA,1950,0
Algeria,DZA,1951,0
Algeria,DZA,1952,1
Algeria,DZA,1955,1
Algeria,DZA,1956,1
Algeria,DZA,1962,0
Algeria,DZA,1963,0
Algeria,DZA,1964,0
Algeria,DZA,1965,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,1
Algeria,DZA,1992,1
Algeria,DZA,1995,1
Algeria,DZA,1996,1
Algeria,DZA,1997,1
Algeria,DZA,1998,1
Algeria,DZA,1999,1
Algeria,DZA,2000,1
Algeria,DZA,2001,1
Algeria,DZA,2002,1
Algeria,DZA,2003,1
Algeria,DZA,2004,1
Algeria,DZA,2005,1
Algeria,DZA,2006,1
Algeria,DZA,2007,1
Algeria,DZA,2008,1
Algeria,DZA,2009,1
Algeria,DZA,2010,1
Algeria,DZA,2011,1
Algeria,DZA,2012,1
Algeria,DZA,2013,1
Algeria,DZA,2014,1
Algeria,DZA,2015,1
Algeria,DZA,2016,1
Algeria,DZA,2017,1
Algeria,DZA,2018,1
Algeria,DZA,2019,1
Algeria,DZA,2020,1
Algeria,DZA,2021,1
Algeria,DZA,2022,1
Algeria,DZA,2023,1
Angola,AGO,1992,1
Angola,AGO,2008,1
Angola,AGO,2009,1
Angola,AGO,2010,1
Angola,AGO,2011,1
Angola,AGO,2012,1
Angola,AGO,2013,1
Angola,AGO,2014,1
Angola,AGO,2015,1
Angola,AGO,2016,1
Angola,AGO,2017,1
Angola,AGO,2018,1
Angola,AGO,2019,1
Angola,AGO,2020,1
Angola,AGO,2021,1
Angola,AGO,2022,1
Angola,AGO,2023,1
Argentina,ARG,1853,1
Argentina,ARG,1854,1
Argentina,ARG,1855,1
Argentina,ARG,1856,1
Argentina,ARG,1857,1
Argentina,ARG,1858,1
Argentina,ARG,1859,0
Argentina,ARG,1860,0
Argentina,ARG,1861,0
Argentina,ARG,1862,1
Argentina,ARG,1863,1
Argentina,ARG,1864,1
Argentina,ARG,1865,1
Argentina,ARG,1866,1
Argentina,ARG,1867,1
Argentina,ARG,1868,1
Argentina,ARG,1869,1
Argentina,ARG,1870,1
Argentina,ARG,1871,1
Argentina,ARG,1872,1
Argentina,ARG,1873,1
Argentina,ARG,1874,1
Argentina,ARG,1875,1
Argentina,ARG,1876,1
Argentina,ARG,1877,1
Argentina,ARG,1878,1
Argentina,ARG,1879,1
Argentina,ARG,1880,1
Argentina,ARG,1881,1
Argentina,ARG,1882,1
Argentina,ARG,1883,1
Argentina,ARG,1884,1
Argentina,ARG,1885,1
Argentina,ARG,1886,1
Argentina,ARG,1887,1
Argentina,ARG,1888,1
Argentina,ARG,1889,1
Argentina,ARG,1890,1
Argentina,ARG,1891,1
Argentina,ARG,1892,1
Argentina,ARG,1893,1
Argentina,ARG,1894,1
Argentina,ARG,1895,1
Argentina,ARG,1896,1
Argentina,ARG,1897,1
Argentina,ARG,1898,1
Argentina,ARG,1899,1
Argentina,ARG,1900,1
Argentina,ARG,1901,1
Argentina,ARG,1902,1
Argentina,ARG,1903,1
Argentina,ARG,1904,1
Argentina,ARG,1905,1
Argentina,ARG,1906,1
Argentina,ARG,1907,1
Argentina,ARG,1908,1
Argentina,ARG,1909,1
Argentina,ARG,1910,1
Argentina,ARG,1911,1
Argentina,ARG,1912,1
Argentina,ARG,1913,1
Argentina,ARG,1914,1
Argentina,ARG,1915,1
Argentina,ARG,1916,1
Argentina,ARG,1917,1
Argentina,ARG,1918,1
Argentina,ARG,1919,1
Argentina,ARG,1920,1
Argentina,ARG,1921,1
Argentina,ARG,1922,1
Argentina,ARG,1923,1
Argentina,ARG,1924,1
Argentina,ARG,1925,1
Argentina,ARG,1926,1
Argentina,ARG,1927,1
Argentina,ARG,1928,1
Argentina,ARG,1929,1
Argentina,ARG,1930,1
Argentina,ARG,1931,1
Argentina,ARG,1932,1
Argentina,ARG,1933,1
Argentina,ARG,1934,1
Argentina,ARG,1935,1
Argentina,ARG,1936,1
Argentina,ARG,1937,1
Argentina,ARG,1938,1
Argentina,ARG,1939,1
Argentina,ARG,1940,1
Argentina,ARG,1941,1
Argentina,ARG,1942,1
Argentina,ARG,1943,1
Argentina,ARG,1946,1
Argentina,ARG,1947,1
Argentina,ARG,1948,1
Argentina,ARG,1949,1
Argentina,ARG,1950,1
Argentina,ARG,1951,1
Argentina,ARG,1952,1
Argentina,ARG,1953,1
Argentina,ARG,1954,1
Argentina,ARG,1955,1
Argentina,ARG,1957,1
Argentina,ARG,1958,1
Argentina,ARG,1959,1
Argentina,ARG,1960,1
Argentina,ARG,1961,1
Argentina,ARG,1962,1
Argentina,ARG,1963,1
Argentina,ARG,1964,1
Argentina,ARG,1965,1
Argentina,ARG,1966,1
Argentina,ARG,1973,1
Argentina,ARG,1974,1
Argentina,ARG,1975,1
Argentina,ARG,1976,1
Argentina,ARG,1983,1
Argentina,ARG,1984,1
Argentina,ARG,1985,1
Argentina,ARG,1986,1
Argentina,ARG,1987,1
Argentina,ARG,1988,1
Argentina,ARG,1989,1
Argentina,ARG,1990,1
Argentina,ARG,1991,1
Argentina,ARG,1992,1
Argentina,ARG,1993,1
Argentina,ARG,1994,1
Argentina,ARG,1995,1
Argentina,ARG,1996,1
Argentina,ARG,1997,1
Argentina,ARG,1998,1
Argentina,ARG,1999,1
Argentina,ARG,2000,1
Argentina,ARG,2001,1
Argentina,ARG,2002,1
Argentina,ARG,2003,1
Argentina,ARG,2004,1
Argentina,ARG,2005,1
Argentina,ARG,2006,1
Argentina,ARG,2007,1
Argentina,ARG,2008,1
Argentina,ARG,2009,1
Argentina,ARG,2010,1
Argentina,ARG,2011,1
Argentina,ARG,2012,1
Argentina,ARG,2013,1
Argentina,ARG,2014,1
Argentina,ARG,2015,1
Argentina,ARG,2016,1
Argentina,ARG,2017,1
Argentina,ARG,2018,1
Argentina,ARG,2019,1
Argentina,ARG,2020,1
Argentina,ARG,2021,1
Argentina,ARG,2022,1
Argentina,ARG,2023,1
Armenia,ARM,1918,1
Armenia,ARM,1919,1
Armenia,ARM,1920,1
Armenia,ARM,1921,1
Armenia,ARM,1922,1
Armenia,ARM,1923,1
Armenia,ARM,1924,1
Armenia,ARM,1925,1
Armenia,ARM,1926,1
Armenia,ARM,1927,1
Armenia,ARM,1928,1
Armenia,ARM,1929,1
Armenia,ARM,1930,1
Armenia,ARM,1931,1
Armenia,ARM,1932,1
Armenia,ARM,1933,1
Armenia,ARM,1934,1
Armenia,ARM,1935,1
Armenia,ARM,1936,1
Armenia,ARM,1937,0
Armenia,ARM,1938,0
Armenia,ARM,1939,0
Armenia,ARM,1940,0
Armenia,ARM,1941,0
Armenia,ARM,1942,0
Armenia,ARM,1943,0
Armenia,ARM,1944,0
Armenia,ARM,1945,0
Armenia,ARM,1946,0
Armenia,ARM,1947,0
Armenia,ARM,1948,0
Armenia,ARM,1949,0
Armenia,ARM,1950,0
Armenia,ARM,1951,0
Armenia,ARM,1952,0
Armenia,ARM,1953,0
Armenia,ARM,1954,0
Armenia,ARM,1955,0
Armenia,ARM,1956,0
Armenia,ARM,1957,0
Armenia,ARM,1958,0
Armenia,ARM,1959,0
Armenia,ARM,1960,0
Armenia,ARM,1961,0
Armenia,ARM,1962,0
Armenia,ARM,1963,0
Armenia,ARM,1964,0
Armenia,ARM,1965,0
Armenia,ARM,1966,0
Armenia,ARM,1967,0
Armenia,ARM,1968,0
Armenia,ARM,1969,0
Armenia,ARM,1970,0
Armenia,ARM,1971,0
Armenia,ARM,1972,0
Armenia,ARM,1973,0
Armenia,ARM,1974,0
Armenia,ARM,1975,0
Armenia,ARM,1976,0
Armenia,ARM,1977,0
Armenia,ARM,1978,0
Armenia,ARM,1979,0
Armenia,ARM,1980,0
Armenia,ARM,1981,0
Armenia,ARM,1982,0
Armenia,ARM,1983,0
Armenia,ARM,1984,0
Armenia,ARM,1985,0
Armenia,ARM,1986,0
Armenia,ARM,1987,0
Armenia,ARM,1988,0
Armenia,ARM,1989,1
Armenia,ARM,1990,1
Armenia,ARM,1991,1
Armenia,ARM,1992,1
Armenia,ARM,1993,1
Armenia,ARM,1994,1
Armenia,ARM,1995,1
Armenia,ARM,1996,1
Armenia,ARM,1997,1
Armenia,ARM,1998,1
Armenia,ARM,1999,1
Armenia,ARM,2000,1
Armenia,ARM,2001,1
Armenia,ARM,2002,1
Armenia,ARM,2003,1
Armenia,ARM,2004,1
Armenia,ARM,2005,1
Armenia,ARM,2006,1
Armenia,ARM,2007,1
Armenia,ARM,2008,1
Armenia,ARM,2009,1
Armenia,ARM,2010,1
Armenia,ARM,2011,1
Armenia,ARM,2012,1
Armenia,ARM,2013,1
Armenia,ARM,2014,1
Armenia,ARM,2015,1
Armenia,ARM,2016,1
Armenia,ARM,2017,1
Armenia,ARM,2018,1
Armenia,ARM,2019,1
Armenia,ARM,2020,1
Armenia,ARM,2021,1
Armenia,ARM,2022,1
Armenia,ARM,2023,1
Australia,AUS,1843,1
Australia,AUS,1844,1
Australia,AUS,1845,1
Australia,AUS,1846,1
Australia,AUS,1847,1
Australia,AUS,1848,1
Australia,AUS,1849,1
Australia,AUS,1850,1
Australia,AUS,1851,1
Australia,AUS,1852,1
Australia,AUS,1853,1
Australia,AUS,1854,1
Australia,AUS,1855,1
Australia,AUS,1856,1
Australia,AUS,1857,1
Australia,AUS,1858,1
Australia,AUS,1859,1
Australia,AUS,1860,1
Australia,AUS,1861,1
Australia,AUS,1862,1
Australia,AUS,1863,1
Australia,AUS,1864,1
Australia,AUS,1865,1
Australia,AUS,1866,1
Australia,AUS,1867,1
Australia,AUS,1868,1
Australia,AUS,1869,1
Australia,AUS,1870,1
Australia,AUS,1871,1
Australia,AUS,1872,1
Australia,AUS,1873,1
Australia,AUS,1874,1
Australia,AUS,1875,1
Australia,AUS,1876,1
Australia,AUS,1877,1
Australia,AUS,1878,1
Australia,AUS,1879,1
Australia,AUS,1880,1
Australia,AUS,1881,1
Australia,AUS,1882,1
Australia,AUS,1883,1
Australia,AUS,1884,1
Australia,AUS,1885,1
Australia,AUS,1886,1
Australia,AUS,1887,1
Australia,AUS,1888,1
Australia,AUS,1889,1
Australia,AUS,1890,1
Australia,AUS,1891,1
Australia,AUS,1892,1
Australia,AUS,1893,1
Australia,AUS,1894,1
Australia,AUS,1895,1
Australia,AUS,1896,1
Australia,AUS,1897,1
Australia,AUS,1898,1
Australia,AUS,1899,1
Australia,AUS,1900,1
Australia,AUS,1901,1
Australia,AUS,1902,1
Australia,AUS,1903,1
Australia,AUS,1904,1
Australia,AUS,1905,1
Australia,AUS,1906,1
Australia,AUS,1907,1
Australia,AUS,1908,1
Australia,AUS,1909,1
Australia,AUS,1910,1
Australia,AUS,1911,1
Australia,AUS,1912,1
Australia,AUS,1913,1
Australia,AUS,1914,1
Australia,AUS,1915,1
Australia,AUS,1916,1
Australia,AUS,1917,1
Australia,AUS,1918,1
Australia,AUS,1919,1
Australia,AUS,1920,1
Australia,AUS,1921,1
Australia,AUS,1922,1
Australia,AUS,1923,1
Australia,AUS,1924,1
Australia,AUS,1925,1
Australia,AUS,1926,1
Australia,AUS,1927,1
Australia,AUS,1928,1
Australia,AUS,1929,1
Australia,AUS,1930,1
Australia,AUS,1931,1
Australia,AUS,1932,1
Australia,AUS,1933,1
Australia,AUS,1934,1
Australia,AUS,1935,1
Australia,AUS,1936,1
Australia,AUS,1937,1
Australia,AUS,1938,1
Australia,AUS,1939,1
Australia,AUS,1940,1
Australia,AUS,1941,1
Australia,AUS,1942,1
Australia,AUS,1943,1
Australia,AUS,1944,1
Australia,AUS,1945,1
Australia,AUS,1946,1
Australia,AUS,1947,1
Australia,AUS,1948,1
Australia,AUS,1949,1
Australia,AUS,1950,1
Australia,AUS,1951,1
Australia,AUS,1952,1
Australia,AUS,1953,1
Australia,AUS,1954,1
Australia,AUS,1955,1
Australia,AUS,1956,1
Australia,AUS,1957,1
Australia,AUS,1958,1
Australia,AUS,1959,1
Australia,AUS,1960,1
Australia,AUS,1961,1
Australia,AUS,1962,1
Australia,AUS,1963,1
Australia,AUS,1964,1
Australia,AUS,1965,1
Australia,AUS,1966,1
Australia,AUS,1967,1
Australia,AUS,1968,1
Australia,AUS,1969,1
Australia,AUS,1970,1
Australia,AUS,1971,1
Australia,AUS,1972,1
Australia,AUS,1973,1
Australia,AUS,1974,1
Australia,AUS,1975,1
Australia,AUS,1976,1
Australia,AUS,1977,1
Australia,AUS,1978,1
Australia,AUS,1979,1
Australia,AUS,1980,1
Australia,AUS,1981,1
Australia,AUS,1982,1
Australia,AUS,1983,1
Australia,AUS,1984,1
Australia,AUS,1985,1
Australia,AUS,1986,1
Australia,AUS,1987,1
Australia,AUS,1988,1
Australia,AUS,1989,1
Australia,AUS,1990,1
Australia,AUS,1991,1
Australia,AUS,1992,1
Australia,AUS,1993,1
Australia,AUS,1994,1
Australia,AUS,1995,1
Australia,AUS,1996,1
Australia,AUS,1997,1
Australia,AUS,1998,1
Australia,AUS,1999,1
Australia,AUS,2000,1
Australia,AUS,2001,1
Australia,AUS,2002,1
Australia,AUS,2003,1
Australia,AUS,2004,1
Australia,AUS,2005,1
Australia,AUS,2006,1
Australia,AUS,2007,1
Australia,AUS,2008,1
Australia,AUS,2009,1
Australia,AUS,2010,1
Australia,AUS,2011,1
Australia,AUS,2012,1
Australia,AUS,2013,1
Australia,AUS,2014,1
Australia,AUS,2015,1
Australia,AUS,2016,1
Australia,AUS,2017,1
Australia,AUS,2018,1
Australia,AUS,2019,1
Australia,AUS,2020,1
Australia,AUS,2021,1
Australia,AUS,2022,1
Australia,AUS,2023,1
Austria,AUT,1848,0
Austria,AUT,1849,0
Austria,AUT,1850,0
Austria,AUT,1867,0
Austria,AUT,1868,0
Austria,AUT,1869,0
Austria,AUT,1870,0
Austria,AUT,1871,1
Austria,AUT,1872,1
Austria,AUT,1873,1
Austria,AUT,1874,1
Austria,AUT,1875,1
Austria,AUT,1876,1
Austria,AUT,1877,1
Austria,AUT,1878,1
Austria,AUT,1879,1
Austria,AUT,1880,1
Austria,AUT,1881,1
Austria,AUT,1882,1
Austria,AUT,1883,1
Austria,AUT,1884,1
Austria,AUT,1885,1
Austria,AUT,1886,1
Austria,AUT,1887,1
Austria,AUT,1888,1
Austria,AUT,1889,1
Austria,AUT,1890,1
Austria,AUT,1891,1
Austria,AUT,1892,1
Austria,AUT,1893,1
Austria,AUT,1894,1
Austria,AUT,1895,1
Austria,AUT,1896,1
Austria,AUT,1897,1
Austria,AUT,1898,1
Austria,AUT,1899,1
Austria,AUT,1900,1
Austria,AUT,1901,1
Austria,AUT,1902,1
Austria,AUT,1903,1
Austria,AUT,1904,1
Austria,AUT,1905,1
Austria,AUT,1906,1
Austria,AUT,1907,1
Austria,AUT,1908,1
Austria,AUT,1909,1
Austria,AUT,1910,1
Austria,AUT,1911,1
Austria,AUT,1912,1
Austria,AUT,1913,1
Austria,AUT,1914,1
Austria,AUT,1915,1
Austria,AUT,1916,1
Austria,AUT,1917,1
Austria,AUT,1918,1
Austria,AUT,1919,1
Austria,AUT,1920,1
Austria,AUT,1921,1
Austria,AUT,1922,1
Austria,AUT,1923,1
Austria,AUT,1924,1
Austria,AUT,1925,1
Austria,AUT,1926,1
Austria,AUT,1927,1
Austria,AUT,1928,1
Austria,AUT,1929,1
Austria,AUT,1930,1
Austria,AUT,1931,1
Austria,AUT,1932,1
Austria,AUT,1933,1
Austria,AUT,1945,1
Austria,AUT,1946,1
Austria,AUT,1947,1
Austria,AUT,1948,1
Austria,AUT,1949,1
Austria,AUT,1950,1
Austria,AUT,1951,1
Austria,AUT,1952,1
Austria,AUT,1953,1
Austria,AUT,1954,1
Austria,AUT,1955,1
Austria,AUT,1956,1
Austria,AUT,1957,1
Austria,AUT,1958,1
Austria,AUT,1959,1
Austria,AUT,1960,1
Austria,AUT,1961,1
Austria,AUT,1962,1
Austria,AUT,1963,1
Austria,AUT,1964,1
Austria,AUT,1965,1
Austria,AUT,1966,1
Austria,AUT,1967,1
Austria,AUT,1968,1
Austria,AUT,1969,1
Austria,AUT,1970,1
Austria,AUT,1971,1
Austria,AUT,1972,1
Austria,AUT,1973,1
Austria,AUT,1974,1
Austria,AUT,1975,1
Austria,AUT,1976,1
Austria,AUT,1977,1
Austria,AUT,1978,1
Austria,AUT,1979,1
Austria,AUT,1980,1
Austria,AUT,1981,1
Austria,AUT,1982,1
Austria,AUT,1983,1
Austria,AUT,1984,1
Austria,AUT,1985,1
Austria,AUT,1986,1
Austria,AUT,1987,1
Austria,AUT,1988,1
Austria,AUT,1989,1
Austria,AUT,1990,1
Austria,AUT,1991,1
Austria,AUT,1992,1
Austria,AUT,1993,1
Austria,AUT,1994,1
Austria,AUT,1995,1
Austria,AUT,1996,1
Austria,AUT,1997,1
Austria,AUT,1998,1
Austria,AUT,1999,1
Austria,AUT,2000,1
Austria,AUT,2001,1
Austria,AUT,2002,1
Austria,AUT,2003,1
Austria,AUT,2004,1
Austria,AUT,2005,1
Austria,AUT,2006,1
Austria,AUT,2007,1
Austria,AUT,2008,1
Austria,AUT,2009,1
Austria,AUT,2010,1
Austria,AUT,2011,1
Austria,AUT,2012,1
Austria,AUT,2013,1
Austria,AUT,2014,1
Austria,AUT,2015,1
Austria,AUT,2016,1
Austria,AUT,2017,1
Austria,AUT,2018,1
Austria,AUT,2019,1
Austria,AUT,2020,1
Austria,AUT,2021,1
Austria,AUT,2022,1
Austria,AUT,2023,1
Azerbaijan,AZE,1917,1
Azerbaijan,AZE,1918,1
Azerbaijan,AZE,1919,1
Azerbaijan,AZE,1920,1
Azerbaijan,AZE,1921,1
Azerbaijan,AZE,1922,1
Azerbaijan,AZE,1923,1
Azerbaijan,AZE,1924,1
Azerbaijan,AZE,1925,1
Azerbaijan,AZE,1926,1
Azerbaijan,AZE,1927,1
Azerbaijan,AZE,1928,1
Azerbaijan,AZE,1929,1
Azerbaijan,AZE,1930,1
Azerbaijan,AZE,1931,1
Azerbaijan,AZE,1932,1
Azerbaijan,AZE,1933,1
Azerbaijan,AZE,1934,1
Azerbaijan,AZE,1935,1
Azerbaijan,AZE,1936,1
Azerbaijan,AZE,1937,0
Azerbaijan,AZE,1938,0
Azerbaijan,AZE,1939,0
Azerbaijan,AZE,1940,0
Azerbaijan,AZE,1941,0
Azerbaijan,AZE,1942,0
Azerbaijan,AZE,1943,0
Azerbaijan,AZE,1944,0
Azerbaijan,AZE,1945,0
Azerbaijan,AZE,1946,0
Azerbaijan,AZE,1947,0
Azerbaijan,AZE,1948,0
Azerbaijan,AZE,1949,0
Azerbaijan,AZE,1950,0
Azerbaijan,AZE,1951,0
Azerbaijan,AZE,1952,0
Azerbaijan,AZE,1953,0
Azerbaijan,AZE,1954,0
Azerbaijan,AZE,1955,0
Azerbaijan,AZE,1956,0
Azerbaijan,AZE,1957,0
Azerbaijan,AZE,1958,0
Azerbaijan,AZE,1959,0
Azerbaijan,AZE,1960,0
Azerbaijan,AZE,1961,0
Azerbaijan,AZE,1962,0
Azerbaijan,AZE,1963,0
Azerbaijan,AZE,1964,0
Azerbaijan,AZE,1965,0
Azerbaijan,AZE,1966,0
Azerbaijan,AZE,1967,0
Azerbaijan,AZE,1968,0
Azerbaijan,AZE,1969,0
Azerbaijan,AZE,1970,0
Azerbaijan,AZE,1971,0
Azerbaijan,AZE,1972,0
Azerbaijan,AZE,1973,0
Azerbaijan,AZE,1974,0
Azerbaijan,AZE,1975,0
Azerbaijan,AZE,1976,0
Azerbaijan,AZE,1977,0
Azerbaijan,AZE,1978,0
Azerbaijan,AZE,1979,0
Azerbaijan,AZE,1980,0
Azerbaijan,AZE,1981,0
Azerbaijan,AZE,1982,0
Azerbaijan,AZE,1983,0
Azerbaijan,AZE,1984,0
Azerbaijan,AZE,1985,0
Azerbaijan,AZE,1986,0
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,0
Azerbaijan,AZE,1989,1
Azerbaijan,AZE,1990,1
Azerbaijan,AZE,1991,1
Azerbaijan,AZE,1992,1
Azerbaijan,AZE,1993,1
Azerbaijan,AZE,1994,1
Azerbaijan,AZE,1995,1
Azerbaijan,AZE,1996,1
Azerbaijan,AZE,1997,1
Azerbaijan,AZE,1998,1
Azerbaijan,AZE,1999,1
Azerbaijan,AZE,2000,1
Azerbaijan,AZE,2001,1
Azerbaijan,AZE,2002,1
Azerbaijan,AZE,2003,1
Azerbaijan,AZE,2004,1
Azerbaijan,AZE,2005,1
Azerbaijan,AZE,2006,1
Azerbaijan,AZE,2007,1
Azerbaijan,AZE,2008,1
Azerbaijan,AZE,2009,1
Azerbaijan,AZE,2010,1
Azerbaijan,AZE,2011,1
Azerbaijan,AZE,2012,1
Azerbaijan,AZE,2013,1
Azerbaijan,AZE,2014,1
Azerbaijan,AZE,2015,1
Azerbaijan,AZE,2016,1
Azerbaijan,AZE,2017,1
Azerbaijan,AZE,2018,0
Azerbaijan,AZE,2019,0
Azerbaijan,AZE,2020,1
Azerbaijan,AZE,2021,1
Azerbaijan,AZE,2022,1
Azerbaijan,AZE,2023,1
Baden,OWID_BAD,1819,1
Baden,OWID_BAD,1820,1
Baden,OWID_BAD,1821,1
Baden,OWID_BAD,1822,1
Baden,OWID_BAD,1823,1
Baden,OWID_BAD,1824,1
Baden,OWID_BAD,1825,1
Baden,OWID_BAD,1826,1
Baden,OWID_BAD,1827,1
Baden,OWID_BAD,1828,1
Baden,OWID_BAD,1829,1
Baden,OWID_BAD,1830,1
Baden,OWID_BAD,1831,1
Baden,OWID_BAD,1832,1
Baden,OWID_BAD,1833,1
Baden,OWID_BAD,1834,1
Baden,OWID_BAD,1835,1
Baden,OWID_BAD,1836,1
Baden,OWID_BAD,1837,1
Baden,OWID_BAD,1838,1
Baden,OWID_BAD,1839,1
Baden,OWID_BAD,1840,1
Baden,OWID_BAD,1841,1
Baden,OWID_BAD,1842,1
Baden,OWID_BAD,1843,1
Baden,OWID_BAD,1844,1
Baden,OWID_BAD,1845,1
Baden,OWID_BAD,1846,1
Baden,OWID_BAD,1847,1
Baden,OWID_BAD,1848,1
Baden,OWID_BAD,1849,1
Baden,OWID_BAD,1850,1
Baden,OWID_BAD,1851,1
Baden,OWID_BAD,1852,1
Baden,OWID_BAD,1853,1
Baden,OWID_BAD,1854,1
Baden,OWID_BAD,1855,1
Baden,OWID_BAD,1856,1
Baden,OWID_BAD,1857,1
Baden,OWID_BAD,1858,1
Baden,OWID_BAD,1859,1
Baden,OWID_BAD,1860,1
Baden,OWID_BAD,1861,1
Baden,OWID_BAD,1862,1
Baden,OWID_BAD,1863,1
Baden,OWID_BAD,1864,1
Baden,OWID_BAD,1865,1
Baden,OWID_BAD,1866,1
Baden,OWID_BAD,1867,1
Baden,OWID_BAD,1868,1
