,country,year,Effective Parliament (highest score=1),Election free and fair (highest score=1),Election government intimidation (highest score=1),Voter turnout (highest score=1),Fair trial (highest score=1),Judicial Independence (highest score=1),Predictable Enforcement (highest score=1),Freedom of Religion (highest score=1),Free Political Parties (highest score=1),Harassment of journalists (highest score=1),Media bias (highest score=1),Media freedom (highest score=1),Freedom of the Press (highest score=1),Gender Equality (highest score=1),Educational equality (highest score=1),Health equality (highest score=1),Infant mortality rate (highest score=1),Life expectancy (highest score=1),Mean years of schooling (highest score=1),Human Development Index
26,Australia,2016,0.89,0.88,0.89,0.79,1.0,1.0,0.9,1.0,0.74,0.75,0.9,1.0,0.84,0.82,0.73,0.72,0.99,0.97,0.47,0.936
27,Australia,2017,0.84,0.88,0.89,0.79,1.0,1.0,0.9,1.0,0.74,0.75,0.9,1.0,0.84,0.84,0.73,0.72,0.99,0.97,0.47,0.937
28,Australia,2018,0.84,0.88,0.89,0.79,1.0,1.0,0.89,0.89,0.74,0.75,0.81,1.0,0.77,0.81,0.73,0.72,0.99,0.97,0.47,0.941
29,Australia,2019,0.84,0.77,0.89,0.81,1.0,1.0,0.88,0.89,0.74,0.68,0.71,1.0,0.72,0.86,0.73,0.72,0.99,0.98,0.48,0.941
30,Australia,2020,0.84,0.77,0.89,0.81,1.0,1.0,0.86,1.0,0.74,0.74,0.78,1.0,0.77,0.82,0.73,0.72,0.99,0.98,0.48,0.948
31,Australia,2021,0.84,0.77,0.89,0.81,1.0,1.0,0.88,1.0,0.74,0.69,0.77,1.0,0.73,0.88,0.68,0.72,0.99,0.98,0.48,0.949
32,Australia,2022,0.84,0.86,0.87,0.76,1.0,1.0,0.85,1.0,0.74,0.69,0.77,1.0,0.74,0.9,0.68,0.72,0.99,0.98,0.48,0.946
33,Austria,1990,0.71,0.82,0.84,0.81,1.0,0.76,0.74,0.98,0.74,0.89,0.83,1.0,0.84,0.67,0.7,0.91,0.97,0.88,0.41,0.8230000000000001
34,Austria,1991,0.71,0.82,0.84,0.81,1.0,0.76,0.74,0.98,0.74,0.89,0.83,1.0,0.84,0.67,0.7,0.91,0.97,0.88,0.41,0.8260000000000001
35,Austria,1992,0.71,0.82,0.84,0.76,1.0,0.76,0.74,0.98,0.74,0.89,0.83,1.0,0.84,0.67,0.7,0.91,0.97,0.88,0.41,0.8320000000000001
36,Austria,1993,0.71,0.82,0.84,0.76,1.0,0.76,0.74,0.98,0.74,0.89,0.83,1.0,0.84,0.67,0.7,0.91,0.97,0.88,0.41,0.836
37,Austria,1994,0.71,0.83,0.84,0.76,1.0,0.76,0.74,0.98,0.74,0.89,0.83,1.0,0.84,0.67,0.7,0.91,0.98,0.89,0.41,0.841
38,Austria,1995,0.71,0.82,0.84,0.79,1.0,0.76,0.74,0.98,0.74,0.89,0.83,1.0,0.84,0.7,0.7,0.91,0.98,0.89,0.41,0.847
39,Austria,1996,0.71,0.82,0.84,0.79,1.0,0.76,0.74,0.98,0.74,0.89,0.83,1.0,0.84,0.7,0.7,0.91,0.98,0.89,0.42,0.852
40,Austria,1997,0.71,0.82,0.84,0.79,1.0,0.76,0.73,0.85,0.74,0.89,0.83,1.0,0.84,0.71,0.7,0.91,0.98,0.9,0.42,0.856
41,Austria,1998,0.71,0.82,0.84,0.68,1.0,0.76,0.74,0.85,0.74,0.89,0.83,1.0,0.84,0.71,0.7,0.91,0.98,0.9,0.42,0.861
42,Austria,1999,0.71,0.82,0.84,0.73,1.0,0.76,0.74,0.85,0.74,0.89,0.83,1.0,0.84,0.71,0.7,0.91,0.98,0.91,0.42,0.865
43,Austria,2000,0.74,0.82,0.84,0.73,1.0,0.76,0.74,0.85,0.74,0.89,0.83,1.0,0.84,0.73,0.7,0.91,0.98,0.91,0.42,0.87
44,Austria,2001,0.74,0.82,0.84,0.73,1.0,0.76,0.74,0.85,0.74,0.89,0.83,1.0,0.84,0.73,0.7,0.91,0.98,0.92,0.42,0.874
45,Austria,2002,0.74,0.82,0.85,0.77,1.0,0.76,0.74,0.85,0.74,0.89,0.83,1.0,0.84,0.74,0.7,0.91,0.99,0.92,0.42,0.878
46,Austria,2003,0.74,0.82,0.85,0.77,1.0,0.76,0.74,0.85,0.74,0.89,0.83,1.0,0.84,0.74,0.7,0.91,0.99,0.92,0.43,0.88
47,Austria,2004,0.74,0.83,0.84,0.66,1.0,0.76,0.74,0.85,0.74,0.89,0.83,1.0,0.84,0.74,0.7,0.91,0.99,0.93,0.43,0.886
48,Austria,2005,0.74,0.83,0.84,0.66,1.0,0.76,0.74,0.85,0.74,0.89,0.83,1.0,0.84,0.74,0.7,0.91,0.99,0.93,0.43,0.889
49,Austria,2006,0.74,0.85,0.88,0.73,1.0,0.76,0.74,0.85,0.74,0.89,0.83,1.0,0.84,0.74,0.7,0.91,0.99,0.93,0.43,0.893
50,Austria,2007,0.75,0.85,0.88,0.73,1.0,0.76,0.77,0.85,0.74,0.89,0.83,1.0,0.84,0.75,0.7,0.91,0.99,0.94,0.43,0.896
51,Austria,2008,0.75,0.85,0.88,0.76,1.0,0.76,0.77,0.98,0.74,0.89,0.83,1.0,0.84,0.74,0.7,0.91,0.99,0.94,0.43,0.899
52,Austria,2009,0.75,0.85,0.88,0.76,1.0,0.76,0.77,0.85,0.74,0.89,0.83,1.0,0.84,0.72,0.7,0.91,0.99,0.94,0.44,0.898
53,Austria,2010,0.75,0.85,0.88,0.47,1.0,0.76,0.77,0.8,0.74,0.89,0.83,1.0,0.82,0.75,0.7,0.91,0.99,0.94,0.44,0.903
54,Austria,2011,0.75,0.85,0.88,0.47,1.0,0.76,0.77,0.98,0.74,0.89,0.83,1.0,0.84,0.75,0.7,0.91,0.99,0.95,0.44,0.907
55,Austria,2012,0.75,0.85,0.88,0.47,1.0,0.77,0.78,1.0,0.74,0.89,0.83,1.0,0.83,0.76,0.7,0.91,0.99,0.95,0.44,0.909
56,Austria,2013,0.75,0.85,0.88,0.66,1.0,0.76,0.78,1.0,0.74,0.89,0.83,1.0,0.83,0.76,0.7,0.91,0.99,0.95,0.44,0.907
57,Austria,2014,0.75,0.85,0.88,0.66,1.0,0.76,0.78,1.0,0.74,0.89,0.83,1.0,0.83,0.73,0.7,0.91,0.99,0.96,0.45,0.911
58,Austria,2015,0.75,0.85,0.88,0.66,1.0,0.76,0.75,1.0,0.74,0.89,0.83,1.0,0.83,0.73,0.7,0.91,0.99,0.95,0.45,0.91
59,Austria,2016,0.75,0.71,0.88,0.64,1.0,0.76,0.75,0.89,0.74,0.89,0.83,1.0,0.83,0.74,0.7,0.91,0.99,0.96,0.45,0.913
60,Austria,2017,0.75,0.86,0.88,0.69,1.0,0.76,0.74,0.73,0.74,0.89,0.77,1.0,0.82,0.77,0.7,0.91,0.99,0.96,0.45,0.914
61,Austria,2018,0.75,0.86,0.88,0.69,1.0,0.76,0.68,0.71,0.74,0.78,0.77,1.0,0.72,0.74,0.7,0.91,0.99,0.96,0.46,0.917
62,Austria,2019,0.75,0.82,0.86,0.64,1.0,0.79,0.7,0.73,0.74,0.69,0.83,1.0,0.73,0.79,0.81,0.91,0.99,0.96,0.46,0.92
63,Austria,2020,0.73,0.82,0.86,0.64,1.0,0.75,0.73,0.77,0.74,0.75,0.79,1.0,0.74,0.79,0.82,0.91,0.99,0.95,0.46,0.916
64,Austria,2021,0.73,0.82,0.86,0.64,1.0,0.82,0.68,0.73,0.74,0.75,0.79,1.0,0.71,0.81,0.76,0.91,0.99,0.95,0.46,0.92
65,Austria,2022,0.68,0.81,0.86,0.54,1.0,0.82,0.62,0.73,0.74,0.75,0.62,1.0,0.67,0.85,0.7,0.91,0.99,0.95,0.46,0.926
66,Belgium,1990,0.71,0.85,0.89,0.87,1.0,0.74,0.79,0.98,0.74,0.85,0.84,1.0,0.86,0.78,0.96,0.89,0.96,0.88,0.43,0.8140000000000001
67,Belgium,1991,0.71,0.84,0.89,0.85,1.0,0.74,0.79,0.98,0.74,0.85,0.84,1.0,0.86,0.8,0.96,0.89,0.97,0.88,0.43,0.8180000000000001
68,Belgium,1992,0.71,0.84,0.89,0.85,1.0,0.74,0.81,0.85,0.74,0.85,0.84,1.0,0.86,0.79,0.96,0.89,0.97,0.89,0.43,0.835
69,Belgium,1993,0.71,0.84,0.89,0.85,1.0,0.74,0.81,0.98,0.74,0.85,0.84,1.0,0.86,0.79,0.96,0.89,0.97,0.89,0.44,0.849
70,Belgium,1994,0.71,0.84,0.89,0.85,1.0,0.74,0.81,0.98,0.74,0.85,0.84,1.0,0.86,0.79,0.96,0.89,0.97,0.89,0.44,0.857
71,Belgium,1995,0.71,0.85,0.89,0.83,1.0,0.74,0.81,0.98,0.74,0.85,0.84,1.0,0.87,0.79,0.96,0.89,0.98,0.89,0.44,0.864
72,Belgium,1996,0.74,0.85,0.89,0.83,1.0,0.74,0.8,0.98,0.74,0.85,0.84,1.0,0.87,0.83,0.96,0.89,0.98,0.9,0.45,0.87
73,Belgium,1997,0.74,0.85,0.89,0.83,1.0,0.74,0.8,0.98,0.74,0.85,0.84,1.0,0.87,0.84,0.96,0.89,0.98,0.9,0.45,0.874
74,Belgium,1998,0.71,0.85,0.89,0.83,1.0,0.74,0.8,0.98,0.74,0.85,0.84,1.0,0.87,0.84,0.96,0.89,0.98,0.9,0.45,0.876
75,Belgium,1999,0.75,0.85,0.9,0.83,1.0,0.74,0.8,0.85,0.74,0.85,0.84,1.0,0.87,0.8,0.96,0.89,0.98,0.9,0.45,0.879
76,Belgium,2000,0.75,0.85,0.9,0.83,1.0,0.74,0.8,0.85,0.74,0.85,0.84,1.0,0.87,0.8,0.96,0.89,0.98,0.91,0.46,0.884
77,Belgium,2001,0.75,0.85,0.9,0.83,1.0,0.74,0.8,0.85,0.74,0.85,0.84,1.0,0.87,0.8,0.96,0.89,0.98,0.91,0.46,0.889
78,Belgium,2002,0.75,0.85,0.9,0.83,1.0,0.74,0.8,0.98,0.74,0.85,0.84,1.0,0.87,0.8,0.96,0.89,0.98,0.91,0.46,0.891
79,Belgium,2003,0.75,0.84,0.89,0.86,1.0,0.74,0.8,0.98,0.74,0.85,0.84,1.0,0.87,0.86,0.96,0.89,0.99,0.91,0.46,0.893
80,Belgium,2004,0.75,0.84,0.89,0.86,1.0,0.74,0.8,0.98,0.53,0.85,0.84,1.0,0.87,0.86,0.96,0.89,0.99,0.92,0.46,0.899
81,Belgium,2005,0.75,0.84,0.89,0.86,1.0,0.74,0.8,0.85,0.74,0.85,0.84,1.0,0.87,0.86,0.96,0.89,0.99,0.92,0.47,0.901
82,Belgium,2006,0.75,0.84,0.89,0.86,1.0,0.75,0.8,0.85,0.74,0.85,0.84,1.0,0.87,0.83,0.96,0.89,0.99,0.93,0.47,0.904
83,Belgium,2007,0.75,0.91,0.93,0.86,1.0,0.75,0.8,0.85,0.56,0.85,0.86,1.0,0.87,0.84,0.96,0.89,0.99,0.93,0.47,0.907
84,Belgium,2008,0.75,0.91,0.93,0.86,1.0,0.75,0.8,0.98,0.56,0.85,0.86,1.0,0.87,0.83,0.96,0.89,0.99,0.93,0.47,0.909
85,Belgium,2009,0.75,0.91,0.93,0.86,1.0,0.75,0.8,0.98,0.56,0.85,0.86,1.0,0.87,0.85,0.96,0.89,0.99,0.94,0.47,0.91
86,Belgium,2010,0.75,0.91,0.92,0.85,1.0,0.75,0.8,0.8,0.56,0.85,0.86,1.0,0.87,0.85,0.96,0.89,0.99,0.94,0.48,0.913
87,Belgium,2011,0.75,0.91,0.92,0.85,1.0,0.75,0.8,0.85,0.56,0.85,0.86,1.0,0.87,0.86,0.96,0.89,0.99,0.94,0.48,0.914
88,Belgium,2012,0.75,0.91,0.92,0.85,1.0,0.76,0.81,0.74,0.62,0.85,0.86,1.0,0.87,0.86,0.96,0.89,0.99,0.94,0.48,0.915
89,Belgium,2013,0.77,0.91,0.92,0.85,1.0,0.76,0.81,0.74,0.62,0.85,0.86,1.0,0.87,0.84,0.84,0.89,0.99,0.94,0.48,0.917
90,Belgium,2014,0.77,0.9,0.92,0.87,1.0,0.76,0.81,0.74,0.62,0.85,0.86,1.0,0.87,0.84,0.84,0.89,0.99,0.95,0.48,0.922
91,Belgium,2015,0.77,0.9,0.92,0.87,1.0,0.76,0.81,0.74,0.62,0.85,0.86,1.0,0.87,0.84,0.84,0.89,0.99,0.95,0.48,0.924
92,Belgium,2016,0.77,0.9,0.92,0.87,1.0,0.75,0.81,0.74,0.62,0.85,0.86,1.0,0.87,0.84,0.84,0.89,0.99,0.96,0.49,0.927
93,Belgium,2017,0.77,0.9,0.92,0.87,1.0,0.75,0.81,0.74,0.62,0.76,0.86,1.0,0.85,0.84,0.84,0.89,0.99,0.96,0.49,0.931
94,Belgium,2018,0.77,0.9,0.92,0.87,1.0,0.75,0.81,0.74,0.62,0.76,0.86,1.0,0.85,0.84,0.84,0.89,0.99,0.96,0.49,0.933
95,Belgium,2019,0.78,0.89,0.9,0.78,1.0,0.75,0.8,0.71,0.62,0.75,0.86,1.0,0.85,0.84,0.84,0.89,0.99,0.96,0.49,0.936
96,Belgium,2020,0.73,0.89,0.9,0.78,1.0,0.75,0.8,0.74,0.62,0.73,0.86,1.0,0.84,0.82,0.84,0.89,0.99,0.95,0.49,0.93
97,Belgium,2021,0.73,0.89,0.9,0.78,1.0,0.75,0.81,0.74,0.62,0.73,0.86,1.0,0.85,0.85,0.84,0.89,0.99,0.95,0.49,0.938
98,Belgium,2022,0.78,0.89,0.9,0.78,1.0,0.75,0.81,0.74,0.62,0.73,0.86,1.0,0.85,0.85,0.84,0.89,0.99,0.95,0.5,0.942
99,Canada,1990,0.71,0.8,0.86,0.68,1.0,0.8,0.81,0.98,0.74,0.75,0.86,1.0,0.78,0.7,0.77,0.87,0.97,0.9,0.45,0.861
100,Canada,1991,0.71,0.8,0.86,0.68,1.0,0.8,0.81,0.98,0.74,0.75,0.86,1.0,0.78,0.7,0.77,0.87,0.97,0.9,0.45,0.865
101,Canada,1992,0.71,0.8,0.86,0.68,1.0,0.8,0.81,0.98,0.74,0.75,0.78,1.0,0.75,0.7,0.77,0.87,0.97,0.91,0.46,0.869
102,Canada,1993,0.71,0.89,0.86,0.63,1.0,0.8,0.81,0.98,0.74,0.75,0.73,1.0,0.74,0.72,0.77,0.87,0.98,0.91,0.46,0.867
103,Canada,1994,0.71,0.89,0.86,0.63,1.0,0.8,0.83,0.98,0.74,0.75,0.73,1.0,0.74,0.73,0.77,0.87,0.98,0.91,0.46,0.873
104,Canada,1995,0.71,0.89,0.86,0.63,1.0,0.8,0.83,0.98,0.74,0.75,0.73,1.0,0.74,0.73,0.77,0.87,0.98,0.91,0.46,0.877
105,Canada,1996,0.71,0.89,0.86,0.63,1.0,0.8,0.83,0.98,0.74,0.75,0.73,1.0,0.76,0.73,0.77,0.87,0.98,0.91,0.46,0.88
106,Canada,1997,0.71,0.8,0.85,0.56,1.0,0.8,0.83,0.98,0.74,0.75,0.73,1.0,0.76,0.75,0.79,0.87,0.98,0.91,0.47,0.88
107,Canada,1998,0.71,0.8,0.85,0.56,1.0,0.8,0.83,0.98,0.74,0.75,0.73,1.0,0.76,0.75,0.79,0.87,0.98,0.92,0.47,0.88
108,Canada,1999,0.71,0.8,0.85,0.56,1.0,0.8,0.83,0.98,0.74,0.75,0.73,1.0,0.76,0.75,0.79,0.87,0.98,0.92,0.47,0.884
109,Canada,2000,0.71,0.88,0.85,0.54,1.0,0.8,0.83,0.98,0.74,0.75,0.73,1.0,0.76,0.78,0.79,0.87,0.98,0.92,0.47,0.89
110,Canada,2001,0.71,0.88,0.85,0.54,1.0,0.8,0.83,0.98,0.74,0.75,0.73,1.0,0.76,0.78,0.79,0.87,0.98,0.93,0.47,0.893
111,Canada,2002,0.71,0.88,0.85,0.54,1.0,0.8,0.83,0.98,0.74,0.75,0.73,1.0,0.76,0.78,0.79,0.87,0.98,0.93,0.47,0.895
112,Canada,2003,0.71,0.88,0.85,0.54,1.0,0.8,0.83,0.98,0.74,0.75,0.73,1.0,0.76,0.8,0.79,0.87,0.98,0.93,0.48,0.897
113,Canada,2004,0.74,0.81,0.86,0.55,1.0,0.8,0.83,0.98,0.74,0.75,0.73,1.0,0.76,0.8,0.79,0.87,0.98,0.93,0.48,0.901
114,Canada,2005,0.74,0.81,0.86,0.55,1.0,0.8,0.83,0.85,0.74,0.75,0.73,1.0,0.76,0.78,0.79,0.87,0.98,0.94,0.48,0.903
115,Canada,2006,0.74,0.89,0.9,0.58,1.0,0.8,0.83,0.98,0.74,0.75,0.76,1.0,0.76,0.75,0.79,0.87,0.98,0.94,0.48,0.907
116,Canada,2007,0.74,0.89,0.9,0.58,1.0,0.8,0.83,0.98,0.74,0.75,0.76,1.0,0.76,0.73,0.79,0.87,0.98,0.94,0.48,0.907
117,Canada,2008,0.74,0.89,0.9,0.53,1.0,0.8,0.83,0.98,0.74,0.75,0.76,1.0,0.76,0.74,0.79,0.87,0.98,0.95,0.48,0.909
118,Canada,2009,0.74,0.89,0.9,0.53,1.0,0.8,0.83,0.98,0.74,0.75,0.76,1.0,0.76,0.75,0.79,0.87,0.98,0.95,0.49,0.91
119,Canada,2010,0.75,0.89,0.9,0.53,1.0,0.8,0.83,0.98,0.74,0.75,0.76,1.0,0.76,0.75,0.79,0.87,0.98,0.95,0.49,0.911
120,Canada,2011,0.75,0.76,0.76,0.53,1.0,0.8,0.83,0.98,0.74,0.75,0.76,1.0,0.76,0.75,0.79,0.87,0.98,0.96,0.49,0.914
121,Canada,2012,0.75,0.76,0.76,0.53,1.0,0.81,0.83,1.0,0.74,0.75,0.81,1.0,0.77,0.75,0.79,0.87,0.98,0.96,0.49,0.921
122,Canada,2013,0.75,0.76,0.76,0.53,1.0,0.81,0.82,1.0,0.74,0.77,0.81,1.0,0.78,0.75,0.73,0.82,0.98,0.96,0.49,0.923
123,Canada,2014,0.75,0.76,0.76,0.53,1.0,0.81,0.83,1.0,0.74,0.77,0.81,1.0,0.78,0.75,0.73,0.82,0.98,0.96,0.49,0.925
124,Canada,2015,0.73,0.82,0.89,0.62,1.0,0.81,0.83,1.0,0.74,0.73,0.81,1.0,0.77,0.76,0.7,0.77,0.98,0.96,0.49,0.927
125,Canada,2016,0.73,0.82,0.89,0.62,1.0,0.81,0.83,1.0,0.74,0.73,0.78,1.0,0.76,0.78,0.7,0.77,0.98,0.96,0.5,0.928
126,Canada,2017,0.72,0.82,0.89,0.62,1.0,0.82,0.83,1.0,0.74,0.79,0.78,1.0,0.78,0.81,0.79,0.83,0.98,0.96,0.5,0.929
127,Canada,2018,0.69,0.82,0.89,0.62,1.0,0.82,0.83,1.0,0.74,0.83,0.78,1.0,0.79,0.8,0.79,0.83,0.98,0.96,0.5,0.93
128,Canada,2019,0.64,0.9,0.88,0.62,1.0,0.84,0.76,0.8,0.74,0.83,0.78,1.0,0.79,0.86,0.79,0.83,0.98,0.96,0.5,0.932
129,Canada,2020,0.62,0.9,0.88,0.62,1.0,0.76,0.77,0.8,0.74,0.83,0.78,1.0,0.79,0.76,0.79,0.83,0.98,0.96,0.5,0.928
130,Canada,2021,0.64,0.87,0.86,0.55,1.0,0.78,0.76,0.84,0.74,0.83,0.78,1.0,0.78,0.79,0.79,0.83,0.99,0.96,0.5,0.934
131,Canada,2022,0.65,0.87,0.86,0.55,1.0,0.73,0.77,0.84,0.74,0.83,0.78,1.0,0.79,0.77,0.79,0.67,0.99,0.96,0.5,0.935
132,Chile,1990,0.8,0.81,0.7,0.87,0.67,0.75,0.6,0.98,0.61,0.76,0.79,0.5,0.72,0.45,0.38,0.43,0.92,0.83,0.34,0.705
133,Chile,1991,0.8,0.81,0.7,0.87,0.67,0.79,0.66,0.98,0.61,0.76,0.85,0.5,0.73,0.45,0.54,0.47,0.93,0.85,0.35,0.714
134,Chile,1992,0.8,0.81,0.7,0.87,0.67,0.79,0.66,0.98,0.61,0.76,0.85,0.5,0.73,0.45,0.54,0.47,0.94,0.86,0.35,0.722
135,Chile,1993,0.8,0.89,0.91,0.82,0.67,0.79,0.66,0.98,0.61,0.76,0.79,0.5,0.72,0.44,0.54,0.47,0.94,0.86,0.36,0.716
136,Chile,1994,0.8,0.89,0.91,0.82,0.67,0.78,0.67,0.98,0.61,0.76,0.85,0.5,0.74,0.46,0.54,0.47,0.95,0.86,0.36,0.722
137,Chile,1995,0.8,0.89,0.91,0.82,0.67,0.79,0.67,0.98,0.61,0.76,0.85,0.5,0.74,0.46,0.54,0.47,0.95,0.86,0.36,0.728
138,Chile,1996,0.8,0.89,0.91,0.82,0.67,0.79,0.68,0.98,0.61,0.76,0.85,0.5,0.74,0.46,0.54,0.47,0.95,0.87,0.37,0.735
139,Chile,1997,0.8,0.89,0.91,0.73,0.67,0.79,0.68,0.75,0.61,0.76,0.85,0.5,0.74,0.46,0.54,0.47,0.95,0.88,0.37,0.744
140,Chile,1998,0.8,0.89,0.91,0.73,0.67,0.79,0.68,0.75,0.61,0.76,0.85,0.5,0.74,0.46,0.54,0.47,0.95,0.88,0.37,0.749
141,Chile,1999,0.8,0.88,0.9,0.73,0.67,0.79,0.68,0.8,0.61,0.76,0.79,0.5,0.72,0.46,0.54,0.47,0.96,0.88,0.38,0.756
142,Chile,2000,0.8,0.88,0.9,0.72,0.67,0.81,0.7,0.98,0.61,0.73,0.85,0.5,0.77,0.57,0.54,0.47,0.96,0.89,0.38,0.763
143,Chile,2001,0.8,0.89,0.91,0.67,0.67,0.81,0.7,0.85,0.61,0.73,0.85,0.5,0.77,0.58,0.54,0.47,0.96,0.89,0.38,0.767
144,Chile,2002,0.8,0.89,0.91,0.67,1.0,0.81,0.7,0.98,0.61,0.73,0.85,1.0,0.78,0.58,0.54,0.47,0.96,0.9,0.39,0.775
145,Chile,2003,0.8,0.89,0.91,0.67,1.0,0.81,0.7,0.85,0.61,0.73,0.85,1.0,0.78,0.58,0.54,0.47,0.97,0.9,0.39,0.78
146,Chile,2004,0.8,0.89,0.91,0.67,1.0,0.81,0.7,0.98,0.61,0.73,0.85,1.0,0.78,0.58,0.54,0.47,0.97,0.9,0.4,0.787
147,Chile,2005,0.91,0.95,0.96,0.63,1.0,0.81,0.7,0.75,0.61,0.73,0.82,1.0,0.77,0.59,0.54,0.55,0.97,0.91,0.4,0.795
148,Chile,2006,0.91,0.95,0.96,0.63,0.67,0.82,0.71,0.8,0.86,0.73,0.85,1.0,0.78,0.59,0.54,0.55,0.97,0.91,0.4,0.796
149,Chile,2007,0.92,0.95,0.96,0.63,0.67,0.82,0.71,0.8,0.86,0.73,0.85,1.0,0.78,0.6,0.54,0.55,0.97,0.91,0.41,0.801
