,Australia,Denmark,Norway,Belgium,France,New Zealand,Sweden,Switzerland,Canada,Finland,Austria,Germany,Iceland,Luxembourg,Ireland,Netherlands,United Kingdom,Italy,Japan,Israel,Greece,Portugal,Spain,Turkiye,Hungary,Latvia,Slovenia,Poland,Lithuania,Estonia,USA,Costa Rica,Columbia,Czechia,Chile,Mexico,South Korea,
2013,TRUE,,TRUE,,,,,,,,FALSE,FALSE,TRUE,TRUE,,,,TRUE,,FALSE,,,,,,,,,,,,,,TRUE,TRUE,,,
2014,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,TRUE,,,,,TRUE,FALSE,,,,,
2015,,TRUE,,,,,,FALSE,TRUE,TRUE,,,,,,,FALSE,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,TRUE,,FALSE,,,,,,FALSE,,
2016,FALSE,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,FALSE,,,,,,TRUE,,TRUE,,,,,,TRUE,
2017,,,FALSE,,TRUE,FALSE,,,,,TRUE,FALSE,TRUE,,,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,TRUE,TRUE,,,
2018,,,,,,,FALSE,,,,,,,FALSE,,,,TRUE,,,,,,FALSE,FALSE,TRUE,TRUE,,,,,FALSE,TRUE,,,TRUE,,
2019,FALSE,TRUE,,FALSE,,,,FALSE,FALSE,TRUE,FALSE,,,,,,FALSE,,,FALSE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,,,,,,,,
2020,,,,,,TRUE,,,,,,,,,TRUE,,,,,FALSE,,,,,,,,,FALSE,,TRUE,,,,,,FALSE,
2021,,,TRUE,,,,,,FALSE,,,TRUE,FALSE,,,FALSE,,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,FALSE,FALSE,,
2022,TRUE,FALSE,,,FALSE,,TRUE,,,,,,,,,,,TRUE,,TRUE,,FALSE,,,FALSE,TRUE,TRUE,,,,,TRUE,TRUE,,,,,
2023,,,,,,TRUE,,FALSE,,TRUE,,,,TRUE,,TRUE,,,,,FALSE,,TRUE,FALSE,,,,TRUE,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
