year,coa,coo,totalrefugees,ccode_coo,ccode_coa,minimal_distance,groupname1,gwgroupid1,groupname2,gwgroupid2,groupname3,gwgroupid3,sources,quote,groupshare1_num,groupshare2_num,groupshare3_num,group1share_multiplier,group2share_multiplier,group3share_multiplier,group1_size,group2_size,group3_size
2000,United States,Cuba,15683,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Data from the 1990 census shows that 86.3 percen ot the immigrant were White Cubans, 0.2 percent were Black Cubans, 0.3 percent were Asians and 13.2 percent designated themselves as beloinging to other race. In Cuba, as in the rest of the Carib",dominant,minority,minority,0.9,0.05,0.05,14114.7,784.15,784.15
2001,United States,Cuba,14414,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Though Cuba has always been a multi-racial society, despite their differences, prior to Mariel both major waves of Cuban immigrants were predominatly White",dominant,minority,minority,0.9,0.05,0.05,12972.6,720.7,720.7
2002,United States,Cuba,13001,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Data from the 1990 census shows that 86.3 percen ot the immigrant were White Cubans, 0.2 percent were Black Cubans, 0.3 percent were Asians and 13.2 percent designated themselves as beloinging to other race. In Cuba, as in the rest of the Carib",dominant,minority,minority,0.9,0.05,0.05,11700.9,650.05,650.05
2003,United States,Cuba,11279,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Though Cuba has always been a multi-racial society, despite their differences, prior to Mariel both major waves of Cuban immigrants were predominatly White",dominant,minority,minority,0.9,0.05,0.05,10151.1,563.95,563.95
2004,United States,Cuba,11821,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Data from the 1990 census shows that 86.3 percen ot the immigrant were White Cubans, 0.2 percent were Black Cubans, 0.3 percent were Asians and 13.2 percent designated themselves as beloinging to other race. In Cuba, as in the rest of the Carib",dominant,minority,minority,0.9,0.05,0.05,10638.9,591.05,591.05
2005,United States,Cuba,14990,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Though Cuba has always been a multi-racial society, despite their differences, prior to Mariel both major waves of Cuban immigrants were predominatly White",dominant,minority,minority,0.9,0.05,0.05,13491,749.5,749.5
1997,Russian Federation,Ukraine,2326,369,365,0,,,,,,,,,,,,,,,,,
2006,United States,Cuba,29400,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Data from the 1990 census shows that 86.3 percen ot the immigrant were White Cubans, 0.2 percent were Black Cubans, 0.3 percent were Asians and 13.2 percent designated themselves as beloinging to other race. In Cuba, as in the rest of the Carib",dominant,minority,minority,0.9,0.05,0.05,26460,1470,1470
2020,United States of America,Cuba,2795,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,https://www.census.gov/prod/cen2010/briefs/c2010br-04.pdf,"Respondent of Cuban origin were much more likely that the total Hispanic population to report as White alone (85 percent) , more likely to report as Black alone (5 percent) , less likely to report as some other race alone (6 percent) and less likely to report as multiple races (4 percent)",majority,minority,minority,0.6,0.2,0.05,1677,559,139.75
1993,United States,Haiti,2132,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,2025.4,,
1994,United States,Haiti,6947,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,6599.65,,
1995,United States,Haiti,9279,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,8815.05,,
1996,United States,Haiti,11008,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,10457.6,,
1997,United States,Haiti,11888,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,11293.6,,
1998,United States,Haiti,10577,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,10048.1,,
1999,United States,Haiti,6302,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,5986.9,,
2000,United States,Haiti,5160,41,2,926882,Haitians,4101000,,,,,"http://www.unhcr.org/refworld/publisher,USCRI,,USA,3ae6a8aa4,0.html","Haitians represented the third largest group, with 2,977 applying during the year, and an approval rate of 7.6 percent",dominant,,,0.95,,,4902,,
2001,United States,Haiti,5251,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,4988.45,,
2002,United States,Haiti,5662,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,5378.9,,
2003,United States,Haiti,5389,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,5119.55,,
2004,United States,Haiti,6760,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,6422,,
2005,United States,Haiti,10560,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,10032,,
2006,United States,Haiti,17171,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,16312.5,,
2007,United States,Haiti,17728,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,16841.6,,
2008,United States,Haiti,18175,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,17266.2,,
2009,United States,Haiti,18733,41,2,926882,Haitians,4101000,,,,,http://books.google.ch/booksid=M7uXBkUAbQ4C&pg=PA78&dq=haitian+refugees+in+the+USA&hl=de&ei=ZSMpTvS0M5Cc-wbnrpT1Bg&sa=X&oi=book_result&ct=result&resnum=9&ved=0CFEQ6AEwCA#v=onepage&q=haitian%20refugees%20in%20the%20USA&f=false,political refugees. P.78,dominant,,,0.95,,,17796.3,,
2010,United States of America,Haiti,18487,41,2,926882,Haitians,4101000,,,,,,,dominant,,,0.95,,,17562.7,,
2011,United States of America,Haiti,24013,41,2,926882,Haitians,4101000,,,,,,,dominant,,,0.95,,,22812.3,,
2012,United States of America,Haiti,26849,41,2,926882,Haitians,4101000,,,,,,,dominant,,,0.95,,,25506.5,,
2013,United States of America,Haiti,25891,41,2,926882,Haitians,4101000,,,,,,,dominant,,,0.95,,,24596.4,,
2014,United States of America,Haiti,24170,41,2,926882,Haitians,4101000,,,,,,,dominant,,,0.95,,,22961.5,,
2015,United States of America,Haiti,21508,41,2,926882,Haitians,4101000,,,,,,,dominant,,,0.95,,,20432.6,,
2016,United States of America,Haiti,18484,41,2,926882,Haitians,4101000,,,,,,,dominant,,,0.95,,,17559.8,,
2017,United States of America,Haiti,17055,41,2,926882,Haitians,4101000,,,,,,,dominant,,,0.95,,,16202.2,,
2018,United States of America,Haiti,16192,41,2,926882,Haitians,4101000,,,,,,,majority,,,0.65,,,10524.8,,
2019,United States of America,Haiti,15698,41,2,926882,Haitians,4101000,,,,,,,majority,,,0.65,,,10203.7,,
2020,United States of America,Haiti,15457,41,2,926882,Haitians,4101000,,,,,,,majority,,,0.65,,,10047,,
2012,United States of America,Mexico,2352,70,2,0,Mestizos,7001000,,,,,,,dominant,,,0.95,,,2234.4,,
2013,United States of America,Mexico,2795,70,2,0,Mestizos,7001000,,,,,,,dominant,,,0.95,,,2655.25,,
2014,United States of America,Mexico,3807,70,2,0,Mestizos,7001000,,,,,,,dominant,,,0.95,,,3616.65,,
2015,United States of America,Mexico,4822,70,2,0,Mestizos,7001000,,,,,,,dominant,,,0.95,,,4580.9,,
2016,United States of America,Mexico,6161,70,2,0,Mestizos,7001000,,,,,,,dominant,,,0.95,,,5852.95,,
2017,United States of America,Mexico,7709,70,2,0,Mestizos,7001000,,,,,,,dominant,,,0.95,,,7323.55,,
2018,United States of America,Mexico,9271,70,2,0,Mestizos,7001000,,,,,,,majority,,,0.65,,,6026.15,,
2019,United States of America,Mexico,11410,70,2,0,Mestizos,7001000,,,,,,,majority,,,0.65,,,7416.5,,
2020,United States of America,Mexico,12103,70,2,0,Mestizos,7001000,,,,,,,majority,,,0.65,,,7866.95,,
1988,United States,Russian Federation,26486,365,2,77081.4,Jews,36511000,Russians,36501000,,,,,majority,minority,,0.6,0.3,,15891.6,7945.8,
1989,United States,Russian Federation,65381,365,2,77081.4,Jews,36511000,Russians,36501000,,,,,majority,minority,,0.6,0.3,,39228.6,19614.3,
1990,United States,Russian Federation,115686,365,2,77081.4,Russians,36501000,Jews,36511000,Armenians,36508000,,,majority,minority,minority,0.6,0.2,0.05,69411.6,23137.2,5784.3
1991,United States,Russian Federation,153658,365,2,77081.4,Russians,36501000,Jews,36511000,Armenians,36508000,,,majority,minority,minority,0.6,0.2,0.05,92194.8,30731.6,7682.9
1992,United States,Russian Federation,211661,365,2,77081.4,Russians,36501000,Jews,36511000,Armenians,36508000,,,majority,minority,minority,0.6,0.2,0.05,126997,42332.2,10583
1993,United States,Russian Federation,240641,365,2,77081.4,Russians,36501000,Jews,36511000,Armenians,36508000,,,majority,minority,minority,0.6,0.2,0.05,144385,48128.2,12032
1994,United States,Russian Federation,245238,365,2,77081.4,Russians,36501000,Jews,36511000,Armenians,36508000,,,majority,minority,minority,0.6,0.2,0.05,147143,49047.6,12261.9
1995,United States,Russian Federation,194956,365,2,77081.4,Russians,36501000,Jews,36511000,Armenians,36508000,,,majority,minority,minority,0.6,0.2,0.05,116974,38991.2,9747.8
1996,United States,Russian Federation,156844,365,2,77081.4,Russians,36501000,Jews,36511000,Armenians,36508000,,,majority,minority,minority,0.6,0.2,0.05,94106.4,31368.8,7842.2
1997,United States,Russian Federation,188083,365,2,77081.4,Russians,36501000,Jews,36511000,Armenians,36508000,,,majority,minority,minority,0.6,0.2,0.05,112850,37616.6,9404.15
1998,United States,Russian Federation,162724,365,2,77081.4,Russians,36501000,Jews,36511000,Armenians,36508000,http://www.everyculture.com/multi/Pa-Sp/Russian-Americans.html,,majority,minority,minority,0.6,0.2,0.05,97634.4,32544.8,8136.2
1999,United States,Russian Federation,7999,365,2,77081.4,Russians,36501000,Chechen,36516000,Jews,36511000,,,majority,minority,minority,0.6,0.2,0.05,4799.4,1599.8,399.95
2000,United States,Russian Federation,11916,365,2,77081.4,Russians,36501000,Chechen,36516000,Jews,36511000,,,majority,minority,minority,0.6,0.2,0.05,7149.6,2383.2,595.8
2001,United States,Russian Federation,16294,365,2,77081.4,Russians,36501000,Chechen,36516000,Jews,36511000,,,majority,minority,minority,0.6,0.2,0.05,9776.4,3258.8,814.7
2002,United States,Russian Federation,18499,365,2,77081.4,Russians,36501000,Chechen,36516000,Jews,36511000,,,majority,minority,minority,0.6,0.2,0.05,11099.4,3699.8,924.95
2003,United States,Russian Federation,18964,365,2,77081.4,Russians,36501000,Chechen,36516000,Jews,36511000,,,majority,minority,minority,0.6,0.2,0.05,11378.4,3792.8,948.2
2004,United States,Russian Federation,15891,365,2,77081.4,Russians,36501000,Chechen,36516000,Jews,36511000,,,majority,minority,minority,0.6,0.2,0.05,9534.6,3178.2,794.55
2005,United States,Russian Federation,18812,365,2,77081.4,Russians,36501000,Chechen,36516000,Jews,36511000,,,majority,minority,minority,0.6,0.2,0.05,11287.2,3762.4,940.6
2006,United States,Russian Federation,86914,365,2,77081.4,Russians,36501000,Chechen,36516000,Jews,36511000,,,majority,minority,minority,0.6,0.2,0.05,52148.4,17382.8,4345.7
2007,United States,Russian Federation,7915,365,2,77081.4,Russians,36501000,Chechen,36516000,Jews,36511000,,,majority,minority,minority,0.6,0.2,0.05,4749,1583,395.75
2008,United States,Russian Federation,7652,365,2,77081.4,Russians,36501000,Chechen,36516000,Jews,36511000,,,majority,minority,minority,0.6,0.2,0.05,4591.2,1530.4,382.6
2009,United States,Russian Federation,7434,365,2,77081.4,Russians,36501000,Chechen,36516000,Jews,36511000,,,majority,minority,minority,0.6,0.2,0.05,4460.4,1486.8,371.7
2010,United States of America,Russian Federation,7043,365,2,77081.4,Russians,36602000,,,,,,,dominant,,,0.95,,,6690.85,,
2011,United States of America,Russian Federation,6863,365,2,77081.4,Russians,36602000,,,,,,,dominant,,,0.95,,,6519.85,,
2012,United States of America,Russian Federation,6714,365,2,77081.4,Russians,36602000,,,,,,,dominant,,,0.95,,,6378.3,,
2013,United States of America,Russian Federation,6461,365,2,77081.4,Russians,36602000,,,,,,,dominant,,,0.95,,,6137.95,,
2014,United States of America,Russian Federation,6163,365,2,77081.4,Russians,36602000,,,,,,,dominant,,,0.95,,,5854.85,,
2015,United States of America,Russian Federation,5905,365,2,77081.4,Russians,36602000,,,,,,,dominant,,,0.95,,,5609.75,,
2016,United States of America,Russian Federation,5503,365,2,77081.4,Russians,36602000,,,,,,,dominant,,,0.95,,,5227.85,,
2017,United States of America,Russian Federation,5463,365,2,77081.4,Russians,36602000,,,,,,,dominant,,,0.95,,,5189.85,,
2018,United States of America,Russian Federation,5813,365,2,77081.4,Russians,36602000,,,,,,,majority,,,0.65,,,3778.45,,
2019,United States of America,Russian Federation,6702,365,2,77081.4,Russians,36602000,,,,,,,majority,,,0.65,,,4356.3,,
2020,United States of America,Russian Federation,6802,365,2,77081.4,Russians,36602000,,,,,,,majority,,,0.65,,,4421.3,,
2009,Canada,United States,2019,2,20,0,99,,,,,,,,,,,,,,,,
2010,Canada,United States of America,2637,2,20,0,Haitians,4101000,,,,,Women's Comission for Refugees and Children: Refugee Policy Adrift,Canadian officials involved in the negotiation of the safe third country agreement revealed that the primary purpose of the provision is to allow for the resettlement of U.S. interdiction casesmany likely to be Haitiansin Canada each year.,dominant,,,0.95,,,2505.15,,
2011,Canada,United States of America,3384,2,20,0,Haitians,4101000,,,,,,,dominant,,,0.95,,,3214.8,,
2012,Canada,United States of America,4045,2,20,0,Haitians,4101000,,,,,,,dominant,,,0.95,,,3842.75,,
2013,Canada,United States of America,4451,2,20,0,Haitians,4101000,,,,,,,dominant,,,0.95,,,4228.45,,
1985,Iraq,Syrian Arab Rep.,2000,652,645,0,Kurds,65206000,,,,,,,,,,,,,,,
2014,Canada,United States of America,4687,2,20,0,Haitians,4101000,,,,,,,dominant,,,0.95,,,4452.65,,
2015,Canada,United States of America,4573,2,20,0,Haitians,4101000,,,,,,,dominant,,,0.95,,,4344.35,,
1978,Cuba,Nicaragua,4000,93,40,711411,99,,,,,,,,,,,,,,,,
1978,Cuba,Nicaragua,4000,93,40,711411,99,,,,,,,,,,,,,,,,
1979,Dominican Rep.,Haiti,3300,41,42,0,Haitians,4101000,,,,,http://www.oas.org/atip/regional%20reports/migrationinthecaribbean.pdf,"Some are refugees, fleeing political violence or repression, but most are escaping urban unemployment or rural poverty.",dominant,,,0.95,,,3135,,
1980,Dominican Rep.,Haiti,3800,41,42,0,Haitians,4101000,,,,,http://www.oas.org/atip/regional%20reports/migrationinthecaribbean.pdf,"Some are refugees, fleeing political violence or repression, but most are escaping urban unemployment or rural poverty.",dominant,,,0.95,,,3610,,
1981,Dominican Rep.,Haiti,5000,41,42,0,Haitians,4101000,,,,,http://www.oas.org/atip/regional%20reports/migrationinthecaribbean.pdf,"Some are refugees, fleeing political violence or repression, but most are escaping urban unemployment or rural poverty.",dominant,,,0.95,,,4750,,
1982,Dominican Rep.,Haiti,5000,41,42,0,Haitians,4101000,,,,,http://www.oas.org/atip/regional%20reports/migrationinthecaribbean.pdf,"Some are refugees, fleeing political violence or repression, but most are escaping urban unemployment or rural poverty.",dominant,,,0.95,,,4750,,
1983,Dominican Rep.,Haiti,5000,41,42,0,Haitians,4101000,,,,,http://www.oas.org/atip/regional%20reports/migrationinthecaribbean.pdf,"Some are refugees, fleeing political violence or repression, but most are escaping urban unemployment or rural poverty.",dominant,,,0.95,,,4750,,
1984,Dominican Rep.,Haiti,5130,41,42,0,Haitians,4101000,,,,,http://www.oas.org/atip/regional%20reports/migrationinthecaribbean.pdf,"Some are refugees, fleeing political violence or repression, but most are escaping urban unemployment or rural poverty.",dominant,,,0.95,,,4873.5,,
1985,Dominican Rep.,Haiti,6000,41,42,0,Haitians,4101000,,,,,http://www.oas.org/atip/regional%20reports/migrationinthecaribbean.pdf,"Some are refugees, fleeing political violence or repression, but most are escaping urban unemployment or rural poverty.",dominant,,,0.95,,,5700,,
1986,Dominican Rep.,Haiti,4980,41,42,0,Haitians,4101000,,,,,http://www.oas.org/atip/regional%20reports/migrationinthecaribbean.pdf,"Some are refugees, fleeing political violence or repression, but most are escaping urban unemployment or rural poverty.",dominant,,,0.95,,,4731,,
1987,Dominican Rep.,Haiti,5000,41,42,0,Haitians,4101000,,,,,http://www.oas.org/atip/regional%20reports/migrationinthecaribbean.pdf,"Some are refugees, fleeing political violence or repression, but most are escaping urban unemployment or rural poverty.",dominant,,,0.95,,,4750,,
1988,Dominican Rep.,Haiti,4686,41,42,0,Haitians,4101000,,,,,http://www.oas.org/atip/regional%20reports/migrationinthecaribbean.pdf,"Some are refugees, fleeing political violence or repression, but most are escaping urban unemployment or rural poverty.",dominant,,,0.95,,,4451.7,,
1989,Dominican Rep.,Haiti,3320,41,42,0,Haitians,4101000,,,,,http://www.oas.org/atip/regional%20reports/migrationinthecaribbean.pdf,"Some are refugees, fleeing political violence or repression, but most are escaping urban unemployment or rural poverty.",dominant,,,0.95,,,3154,,
2019,Trinidad and Tobago,Venezuela (Bolivarian Republic of),2040,101,52,14899.3,White / mestizos,,,,,,,,majority,,,0.65,,,1326,,
2020,Trinidad and Tobago,Venezuela (Bolivarian Republic of),2365,101,52,14899.3,White / mestizos,,,,,,,,majority,,,0.65,,,1537.25,,
